date,state,district,pincode,bio_0_5,bio_5_17,bio_18_30,bio_30_60,bio_60_plus,bio_total,demo_0_5,demo_5_17,demo_18_30,demo_30_60,demo_60_plus,demo_total,mobile_updates,enrol_0_5,enrol_5_17,enrol_18_30,enrol_30_60,enrol_60_plus,enrol_total
2025-10-18,Andhra Pradesh,Nellore,534179,18,46,43,58,17,182,10,18,46,33,15,122,38,2321,5223,7254,10155,4062,29015
2025-10-19,Andhra Pradesh,Nellore,534179,14,62,57,82,11,226,8,23,70,48,17,166,61,2321,5223,7254,10155,4062,29015
2025-10-20,Andhra Pradesh,Nellore,534179,68,251,232,328,59,938,40,96,275,191,74,676,238,2321,5223,7254,10155,4062,29015
2025-10-21,Andhra Pradesh,Nellore,534179,61,211,195,274,53,794,35,81,228,159,63,566,196,2321,5223,7254,10155,4062,29015
2025-10-22,Andhra Pradesh,Nellore,534179,65,154,145,191,60,615,25,52,140,99,42,358,119,2321,5223,7254,10155,4062,29015
2025-10-23,Andhra Pradesh,Nellore,534179,23,68,64,87,21,263,13,27,71,50,21,182,60,2321,5223,7254,10155,4062,29015
2025-10-24,Andhra Pradesh,Nellore,534179,27,90,83,116,24,340,16,35,96,67,27,241,82,2321,5223,7254,10155,4062,29015
2025-10-25,Andhra Pradesh,Nellore,534179,12,51,47,67,10,187,7,19,57,39,14,136,49,2321,5223,7254,10155,4062,29015
2025-10-26,Andhra Pradesh,Nellore,534179,31,92,86,118,28,355,17,36,96,68,29,246,82,2321,5223,7254,10155,4062,29015
2025-10-27,Andhra Pradesh,Nellore,534179,90,305,282,395,79,1151,52,118,328,229,91,818,282,2321,5223,7254,10155,4062,29015
2025-10-28,Andhra Pradesh,Nellore,534179,70,236,218,305,62,891,41,91,253,177,71,633,217,2321,5223,7254,10155,4062,29015
2025-10-29,Andhra Pradesh,Nellore,534179,47,137,128,175,42,529,26,54,143,101,43,367,122,2321,5223,7254,10155,4062,29015
2025-10-30,Andhra Pradesh,Nellore,534179,0,22,20,31,0,73,1,7,29,19,5,61,26,2321,5223,7254,10155,4062,29015
2025-10-31,Andhra Pradesh,Nellore,534179,17,57,52,73,15,214,10,22,60,42,17,151,52,2321,5223,7254,10155,4062,29015
2025-11-01,Andhra Pradesh,Nellore,534179,13,43,40,56,12,164,7,17,46,32,13,115,39,2321,5223,7254,10155,4062,29015
2025-11-02,Andhra Pradesh,Nellore,534179,21,69,64,89,19,262,12,27,73,51,21,184,63,2321,5223,7254,10155,4062,29015
2025-11-03,Andhra Pradesh,Nellore,534179,68,232,215,302,59,876,39,90,250,175,70,624,216,2321,5223,7254,10155,4062,29015
2025-11-04,Andhra Pradesh,Nellore,534179,41,147,136,192,35,551,24,56,160,112,43,395,138,2321,5223,7254,10155,4062,29015
2025-11-05,Andhra Pradesh,Nellore,534179,10,35,33,46,9,133,6,13,38,27,10,94,33,2321,5223,7254,10155,4062,29015
2025-11-06,Andhra Pradesh,Nellore,534179,4,13,12,17,4,50,2,5,13,9,4,33,11,2321,5223,7254,10155,4062,29015
2025-11-07,Andhra Pradesh,Nellore,534179,4,13,12,17,4,50,2,5,13,9,4,33,11,2321,5223,7254,10155,4062,29015
2025-11-08,Andhra Pradesh,Nellore,534179,11,26,25,33,10,105,6,10,26,19,9,70,22,2321,5223,7254,10155,4062,29015
2025-11-09,Andhra Pradesh,Nellore,534179,17,52,48,66,15,198,9,20,54,38,16,137,46,2321,5223,7254,10155,4062,29015
2025-11-10,Andhra Pradesh,Nellore,534179,53,183,169,238,46,689,31,70,198,138,54,491,170,2321,5223,7254,10155,4062,29015
2025-11-11,Andhra Pradesh,Nellore,534179,34,119,110,155,29,447,20,46,129,90,35,320,111,2321,5223,7254,10155,4062,29015
2025-11-12,Andhra Pradesh,Nellore,534179,12,30,28,38,11,119,6,12,30,22,10,80,25,2321,5223,7254,10155,4062,29015
2025-11-13,Andhra Pradesh,Nellore,534179,6,15,14,18,5,58,3,6,14,10,5,38,12,2321,5223,7254,10155,4062,29015
2025-11-14,Andhra Pradesh,Nellore,534179,3,11,10,15,2,41,1,4,13,9,3,30,11,2321,5223,7254,10155,4062,29015
2025-11-15,Andhra Pradesh,Nellore,534179,16,40,38,50,15,159,9,16,39,28,13,105,33,2321,5223,7254,10155,4062,29015
2025-11-16,Andhra Pradesh,Nellore,534179,24,71,66,90,22,273,14,28,73,52,22,189,62,2321,5223,7254,10155,4062,29015
2025-11-17,Andhra Pradesh,Nellore,534179,88,273,253,350,78,1042,50,106,287,203,84,730,246,2321,5223,7254,10155,4062,29015
2025-11-18,Andhra Pradesh,Nellore,534179,75,224,208,286,67,860,42,88,233,165,70,598,199,2321,5223,7254,10155,4062,29015
2025-11-19,Andhra Pradesh,Nellore,534179,36,112,104,144,32,428,21,44,117,83,34,299,100,2321,5223,7254,10155,4062,29015
2025-11-20,Andhra Pradesh,Nellore,534179,0,22,19,31,0,72,0,7,29,19,4,59,27,2321,5223,7254,10155,4062,29015
2025-11-21,Andhra Pradesh,Nellore,534179,21,75,69,98,18,281,12,29,82,57,22,202,71,2321,5223,7254,10155,4062,29015
2025-11-22,Andhra Pradesh,Nellore,534179,8,45,41,60,6,160,5,16,52,35,12,120,46,2321,5223,7254,10155,4062,29015
2025-11-23,Andhra Pradesh,Nellore,534179,32,93,87,119,28,359,18,37,97,69,29,250,83,2321,5223,7254,10155,4062,29015
2025-11-24,Andhra Pradesh,Nellore,534179,75,284,262,372,64,1057,44,108,313,217,83,765,271,2321,5223,7254,10155,4062,29015
2025-11-25,Andhra Pradesh,Nellore,534179,68,238,220,310,59,895,40,92,258,180,71,641,223,2321,5223,7254,10155,4062,29015
2025-11-26,Andhra Pradesh,Nellore,534179,46,146,135,188,41,556,26,57,154,109,45,391,132,2321,5223,7254,10155,4062,29015
2025-11-27,Andhra Pradesh,Nellore,534179,36,92,87,116,33,364,20,37,92,66,30,245,77,2321,5223,7254,10155,4062,29015
2025-11-28,Andhra Pradesh,Nellore,534179,26,84,78,108,23,319,15,32,89,63,25,224,77,2321,5223,7254,10155,4062,29015
2025-11-29,Andhra Pradesh,Nellore,534179,17,53,49,68,15,202,9,20,55,39,16,139,47,2321,5223,7254,10155,4062,29015
2025-11-30,Andhra Pradesh,Nellore,534179,13,64,59,86,10,232,8,24,74,50,17,173,65,2321,5223,7254,10155,4062,29015
2025-12-01,Andhra Pradesh,Nellore,534179,79,266,246,344,69,1004,45,103,285,200,80,713,246,2321,5223,7254,10155,4062,29015
2025-12-02,Andhra Pradesh,Nellore,534179,56,187,173,242,49,707,32,72,201,140,56,501,173,2321,5223,7254,10155,4062,29015
2025-12-03,Andhra Pradesh,Nellore,534179,28,80,74,101,25,308,15,31,82,58,25,211,70,2321,5223,7254,10155,4062,29015
2025-12-04,Andhra Pradesh,Nellore,534179,3,12,11,16,3,45,2,4,13,9,3,31,11,2321,5223,7254,10155,4062,29015
2025-12-05,Andhra Pradesh,Nellore,534179,5,14,13,17,5,54,3,5,14,10,4,36,12,2321,5223,7254,10155,4062,29015
2025-12-06,Andhra Pradesh,Nellore,534179,11,30,28,38,10,117,6,12,30,21,9,78,26,2321,5223,7254,10155,4062,29015
2025-12-07,Andhra Pradesh,Nellore,534179,23,62,58,78,21,242,13,25,63,45,20,166,53,2321,5223,7254,10155,4062,29015
2025-12-08,Andhra Pradesh,Nellore,534179,57,194,180,252,50,733,33,75,209,146,58,521,180,2321,5223,7254,10155,4062,29015
2025-12-09,Andhra Pradesh,Nellore,534179,30,114,105,150,26,425,18,43,126,87,33,307,109,2321,5223,7254,10155,4062,29015
2025-12-10,Andhra Pradesh,Nellore,534179,0,1,0,5,0,6,0,0,8,4,0,12,8,2321,5223,7254,10155,4062,29015
2025-12-11,Andhra Pradesh,Nellore,534179,2,11,10,14,2,39,1,4,12,8,3,28,11,2321,5223,7254,10155,4062,29015
2025-12-12,Andhra Pradesh,Nellore,534179,0,7,6,10,0,23,0,2,10,6,1,19,9,2321,5223,7254,10155,4062,29015
2025-12-13,Andhra Pradesh,Nellore,534179,5,23,21,31,4,84,3,8,26,18,6,61,23,2321,5223,7254,10155,4062,29015
2025-12-14,Andhra Pradesh,Nellore,534179,18,59,55,77,16,225,10,23,63,44,18,158,54,2321,5223,7254,10155,4062,29015
2025-12-15,Andhra Pradesh,Nellore,534179,61,219,202,285,53,820,36,84,238,166,65,589,205,2321,5223,7254,10155,4062,29015
2025-12-16,Andhra Pradesh,Nellore,534179,51,174,161,226,45,657,29,67,187,131,52,466,161,2321,5223,7254,10155,4062,29015
2025-12-17,Andhra Pradesh,Nellore,534179,31,93,86,119,28,357,17,36,96,68,29,246,82,2321,5223,7254,10155,4062,29015
2025-12-18,Andhra Pradesh,Nellore,534179,4,20,18,27,3,72,2,7,23,16,5,53,20,2321,5223,7254,10155,4062,29015
2025-12-19,Andhra Pradesh,Nellore,534179,15,58,53,76,13,215,9,22,64,44,17,156,55,2321,5223,7254,10155,4062,29015
2025-12-20,Andhra Pradesh,Nellore,534179,20,57,53,73,18,221,11,22,59,42,18,152,50,2321,5223,7254,10155,4062,29015
2025-12-21,Andhra Pradesh,Nellore,534179,12,67,62,91,9,241,8,25,79,54,18,184,69,2321,5223,7254,10155,4062,29015
2025-12-22,Andhra Pradesh,Nellore,534179,108,337,313,433,96,1287,62,132,355,250,104,903,304,2321,5223,7254,10155,4062,29015
2025-12-23,Andhra Pradesh,Nellore,534179,72,245,227,318,63,925,41,95,264,185,73,658,228,2321,5223,7254,10155,4062,29015
2025-12-24,Andhra Pradesh,Nellore,534179,20,107,98,144,16,385,13,39,124,85,29,290,109,2321,5223,7254,10155,4062,29015
2025-12-25,Andhra Pradesh,Nellore,534179,21,74,69,97,18,279,12,28,80,56,22,198,69,2321,5223,7254,10155,4062,29015
2025-12-26,Andhra Pradesh,Nellore,534179,30,101,93,130,27,381,17,39,107,75,30,268,92,2321,5223,7254,10155,4062,29015
2025-12-27,Andhra Pradesh,Nellore,534179,22,63,59,81,20,245,12,25,65,46,20,168,55,2321,5223,7254,10155,4062,29015
2025-12-28,Andhra Pradesh,Nellore,534179,11,67,61,91,9,239,7,24,79,54,18,182,70,2321,5223,7254,10155,4062,29015
2025-12-29,Andhra Pradesh,Nellore,534179,78,279,258,363,67,1045,46,107,304,211,82,750,262,2321,5223,7254,10155,4062,29015
2025-12-30,Andhra Pradesh,Nellore,534179,71,227,211,293,63,865,41,88,241,170,69,609,207,2321,5223,7254,10155,4062,29015
2025-12-31,Andhra Pradesh,Nellore,534179,23,88,81,115,20,327,14,33,96,67,25,235,83,2321,5223,7254,10155,4062,29015
2026-01-01,Andhra Pradesh,Nellore,534179,13,30,28,37,12,120,7,12,28,21,10,78,24,2321,5223,7254,10155,4062,29015
2026-01-02,Andhra Pradesh,Nellore,534179,9,29,27,37,8,110,5,11,31,21,9,77,26,2321,5223,7254,10155,4062,29015
2026-01-03,Andhra Pradesh,Nellore,534179,2,24,22,34,1,83,2,8,30,20,6,66,27,2321,5223,7254,10155,4062,29015
2026-01-04,Andhra Pradesh,Nellore,534179,18,60,55,78,16,227,10,23,64,45,18,160,55,2321,5223,7254,10155,4062,29015
2026-01-05,Andhra Pradesh,Nellore,534179,57,204,188,265,50,764,33,78,221,154,60,546,191,2321,5223,7254,10155,4062,29015
2026-01-06,Andhra Pradesh,Nellore,534179,37,131,121,171,32,492,21,50,143,99,39,352,123,2321,5223,7254,10155,4062,29015
2026-01-07,Andhra Pradesh,Nellore,534179,3,19,17,26,3,68,2,7,22,15,5,51,19,2321,5223,7254,10155,4062,29015
2026-01-08,Andhra Pradesh,Nellore,534179,4,12,11,16,3,46,2,5,13,9,3,32,11,2321,5223,7254,10155,4062,29015
2026-01-09,Andhra Pradesh,Nellore,534179,4,12,12,16,3,47,2,5,13,9,4,33,11,2321,5223,7254,10155,4062,29015
2026-01-10,Andhra Pradesh,Nellore,534179,10,27,25,34,9,105,5,10,28,20,8,71,23,2321,5223,7254,10155,4062,29015
2026-01-11,Andhra Pradesh,Nellore,534179,14,52,48,68,12,194,8,20,57,39,15,139,49,2321,5223,7254,10155,4062,29015
2026-01-12,Andhra Pradesh,Nellore,534179,68,221,205,285,59,838,39,86,236,165,67,593,202,2321,5223,7254,10155,4062,29015
2026-01-13,Andhra Pradesh,Nellore,534179,45,154,142,200,39,580,26,59,166,116,46,413,143,2321,5223,7254,10155,4062,29015
